Название,ID,Тип_алкоголя,Категория,Изображение,Бокал,Ингредиент1,Ингредиент2,Ингредиент3,Ингредиент4,Ингредиент5,Инструкция,Мера1,Мера2
Castillian Hot Chocolate,12730,Безалкогольный,Какао,http://www.thecocktaildb.com/images/media/drink/3nbu4a1487603196.jpg,Кофейная кружка,Cocoa powder,Sugar,Cornstarch,Water,Milk,"Сдвиньте какао и сахар вместе в кастрюлю среднего размера. Растворяйте кукурузный крахмал в воде и перемешайте в какао и сахар, пока это не станет гладкой пастой. Начните нагревать смесь, помешивая ее венчиком и постепенно вылейте в молоко. Продолжайте помешивая венчиком, когда вы доведете жидкость до кипения. Позвольте шоколаду варить около 10 минут, часто помешивая, пока он не станет густым, глянцевым и совершенно гладким. Подавать парированным горячим в кофейной кружке. Обслуживает шесть.",1/2 чашка ,1 чашка 
Champagne Cocktail,11227,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/ehh5df1504366811.jpg,Флюте,Champagne,Sugar,Bitters,Lemon peel,Cognac,"Добавьте черту ангостуры горькой на сахарный куб и бросьте в шампанское флейту. Добавьте коньяк, а затем аккуратно вылить охлажденное шампанское. Украсить апельсиновым кусочком и вишневой мараскино.",Chilled ,1 кусочек 
Cherry Electric Lemonade,17174,0,Коктейль,http://www.thecocktaildb.com/images/media/drink/tquyyt1451299548.jpg,Пинта,Gin,Tequila,Vodka,White rum,Triple Sec,"Теперь энергично перемешайте, а затем налейте на большую чашку льда. Теперь выпейте его соломкой и иногда перемешайте.",1 унция,1 унция
Cherry Rum,11239,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/twsuvr1441554424.jpg,Коктейльный бокал,Light rum,Cherry brandy,Light cream,0,0,"Встряхните все ингредиенты со льдом, напрягайтесь в коктейльный стакан и подайте.",1 1/4 унция ,1 1/2 чайная ложка 
Chicago Fizz,11242,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/qwvwqr1441207763.jpg,Хайбол,Light rum,Port,Lemon,Powdered sugar,Egg white,"Встряхните все ингредиенты (кроме газированной воды) со льдом и напрягайтесь в бокале с высоким мячом над двумя кубиками льда. Заполните газированной водой, перемешайте и подайте.",1 унция ,1 унция 
Chocolate Beverage,12732,Безалкогольный,Какао,http://www.thecocktaildb.com/images/media/drink/jbqrhv1487603186.jpg,Кофейная кружка,Milk,Chocolate,Cinnamon,Egg,0,"Варить молоко в верхней части глубокого двойного котла пять минут. Удалите из огня и добавьте шоколад, смешанный с корицей, немного за раз, бить с молинильо или яйцом после каждого дополнения. Когда шоколад полностью смешан, нагрейте до точки кипения. Поместите на дно двойного котла и добавляйте яйца, постоянно взбивая, пока они не станут тщательно смешаны, а смесь не петляется. Подавать в кофейной кружке. Обслуживает восемь.",6 cups ,3 унция Mexican 
Chocolate Black Russian,11243,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/yyvywx1472720879.jpg,Флюте,Kahlua,Vodka,Chocolate ice-cream,0,0,Объедините все ингредиенты в электрическом блендере и смешивайте на низкой скорости в течение короткого промежутка времени. Вылейте в охлажденную флейту шампанского и подайте.,1 унция ,1/2 унция 
Chocolate Drink,12734,Безалкогольный,Какао,http://www.thecocktaildb.com/images/media/drink/q7w4xu1487603180.jpg,Кофейная кружка,Chocolate,Milk,Water,0,0,"Растопить стержень в небольшом количестве кипящей воды. Добавить молоко. Готовьте на медленном огне, осторожно взбивая (я бы предположил), пока не нагревается. Не позволяйте этому варить! Подавать в кофейной кружке.",125 грамм,3/4 L 
Chocolate Milk,13328,Алкогольный,Шот,http://www.thecocktaildb.com/images/media/drink/j6q35t1504889399.jpg,Shot Glass,Chocolate liqueur,Milk,Amaretto,0,0,"Положите молоко в нижнюю часть, вылейте спиной сверху и добавьте в себя черту амаретто. Не смешивайте. Ударь!",1/2 шот ,1/2 шот 
Chocolate Monkey,15615,Опционально алкогольный,Молочный/Шейк,http://www.thecocktaildb.com/images/media/drink/tyvpxt1468875212.jpg,Парфе,Banana liqueur,Creme de Cacao,Chocolate ice-cream,Chocolate syrup,Chocolate milk,"Смешайте жили с мороженым, молоком и сиропом. Налейте в стакан Parfait, сверху взбитыми сливками и украсьте бананом и вишней.",1 шот ,2 shots 
Citrus Coke,17135,Алкогольный,Безалкогольный,http://www.thecocktaildb.com/images/media/drink/uyrvut1479473214.jpg,Highball Glass,Bacardi Limon,Coca-Cola,0,0,0,Вылейте половину кокса в стакан. Затем добавьте Bacardi и поверните его оставшейся колой. Перемешайте и выпейте!,1 часть ,2 parts 
City Slicker,11251,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/dazdlg1504366949.jpg,Коктейльный бокал,Brandy,Triple sec,Lemon juice,0,0,"В шейкере, наполовину заполненном кубиками льда, объедините все ингредиенты. Встряхнуть хорошо. Процедить в коктейльный стакан.",2 унция ,1/2 унция 
Classic Old-Fashioned,11145,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/anhof61504366173.jpg,Олд-фэшн,Bitters,Water,Sugar,Bourbon,Orange,"В старомодном стакане смешайте биттеры и воду в сахарный куб, используя заднюю часть чайной ложки. Почти заполните стакан кубиками льда и добавьте бурбон. Украсить апельсиновым кусочком и вишней. Подавать с палкой.",3 dashes ,1 чайная ложка 
